player_key,name,position,avail,pref_pos,player_page_key
,BarDownBart,Skater,"Sun, Mon, Wed, Thu, Fri, Sat","Center, Wing",name:BarDownBart
,barky,Goalie,Sat,Goalie,name:barky
,BigChin,Skater,"Sun, Mon, Tue, Wed, Thu","Center, Wing",name:BigChin
,Bingus,Skater,"Sun, Mon, Tue, Wed, Thu, Fri, Sat",Defense,name:Bingus
,BOESER,Skater,"Sun, Mon, Tue, Wed, Thu, Fri, Sat","Center, Wing",name:BOESER
,Brodeur,Goalie,"Sun, Mon, Tue, Wed, Thu, Fri, Sat",Goalie,name:Brodeur
,BrunoFernandge,Skater,"Sun, Mon, Sat","Wing, Defense",name:BrunoFernandge
,Bwall,Goalie,"Wed, Thu, Fri",Goalie,name:Bwall
,carl,Skater,"Sun, Mon, Wed, Fri, Sat","Wing, Defense",name:carl
,cat,Skater,"Sun, Mon, Tue, Wed, Thu, Fri, Sat","Center, Wing, Defense",name:cat
,cb,Skater,"Sun, Wed, Thu, Fri, Sat","Center, Wing",name:cb
name:ChiafNeef,Chief Keef,Skater,"Sun, Tue, Thu, Fri, Sat","Center, Wing, Defense",name:ChiafNeef
,Chippy,Goalie,"Sun, Mon, Tue, Wed, Thu, Fri, Sat",Goalie,name:Chippy
,cloog,Skater/Goalie,"Mon, Tue, Wed, Thu, Sat","Defense, Goalie",name:cloog
,Cooley,Skater,"Sun, Mon, Tue, Wed, Thu, Fri, Sat","Center, Wing",name:Cooley
,custom,Skater,"Sun, Mon, Tue, Wed, Thu",Defense,name:custom
,dabz,Skater,"Sun, Mon, Tue, Wed, Thu, Fri, Sat","Center, Wing, Defense",name:dabz
,Dan,Skater/Goalie,"Sun, Mon, Tue, Wed, Thu, Fri, Sat",Goalie,name:Dan
,DankyD,Skater,"Sun, Tue, Wed, Thu, Fri, Sat",Defense,name:DankyD
,DickiePecker,Skater,"Sun, Fri, Sat","Center, Wing, Defense",name:DickiePecker
,Dog,Skater,"Tue, Wed, Thu, Fri",Defense,name:Dog
,Dorofeyev,Skater,"Sun, Mon, Tue, Wed, Thu, Fri, Sat","Center, Wing",name:Dorofeyev (D3)
,Draisaitl,Skater,"Mon, Tue, Thu, Fri, Sat",Wing,name:Draisaitl
,extendo,Skater/Goalie,"Sun, Mon, Tue, Wed, Thu, Fri, Sat","Defense, Goalie",name:extendo
,Figgy,Skater,"Tue, Wed, Thu, Fri, Sat",Wing,name:Figgy
,FORD,Skater,"Sun, Mon, Tue, Wed, Thu, Fri, Sat","Center, Wing, Defense",name:FORD
,Frolov,Skater,"Sun, Fri, Sat","Center, Wing",name:Frolov
,Gaara,Skater,"Sun, Mon, Tue, Wed, Thu","Center, Defense",name:Gaara
,Gary ,Skater,"Sun, Mon, Tue, Wed, Thu","Center, Wing, Defense",name:Gary
,Gedaliah,Goalie,"Sun, Mon, Tue, Wed, Thu, Fri, Sat",Goalie,name:Gedaliah
