name,steam_id,position,role,gp_s,pts,g,a,p_per_gp,shots,passes,exits,entries,hits,turnovers,takeaways,touches,possession_s,fow,fol,gp_g,sa,ga,body_sv,stick_sv,gaa,sv_pct,wins,so,sp,sp_per_gp,team_id,player_key
Shoe,,S,Captain,29,16,4,12,0.551724138,26,,,,,,,,,,,,,,,,,,,,750,25.86206897,WEST,name:Shoe
SoCanadian,,S,Assistant,17,24,14,10,1.411764706,58,,,,,,,,,,,,,,,,,,,,1500,88.23529412,WEST,name:SoCanadian
Marcus,,S,,28,49,18,31,1.75,85,,,,,,,,,,,,,,,,,,,,2525,90.17857143,WEST,name:Marcus
weatherboy,,S,,7,6,3,3,0.857142857,15,,,,,,,,,,,,,,,,,,,,360,51.42857143,WEST,name:weatherboy
Midnight,,S,,25,46,20,26,1.84,90,,,,,,,,,,,,,,,,,,,,2530,101.2,WEST,name:Midnight
DeadlyDangles,,S,,4,2,1,1,0.5,8,,,,,,,,,,,,,,,,,,,,135,33.75,WEST,name:DeadlyDangles
Nemestokes,,S,,10,11,2,9,1.1,14,,,,,,,,,,,,,,,,,,,,470,47,WEST,name:Nemestokes
Julzes,,S,,2,1,0,1,0.5,1,,,,,,,,,,,,,,,,,,,,35,17.5,WEST,name:Julzes
Miku,,S/G,Assistant,9,13,0,13,1.444444444,4,,,,,,,,,,,13,94,17,,,1.307692308,0.819148936,8,4,1220,55.45454545,WEST,name:Miku
milk,,G,Assistant,0,3,0,3,,0,,,,,,,,,,,22,202,36,,,1.636363636,0.821782178,12,3,1780,80.90909091,WEST,name:milk
jurkey,,S,Captain,29,33,15,18,1.137931034,71,,,,,,,,,,,1,11,2,,,2,0.818181818,0,0,1960,65.33333333,VGN,name:jurkey
dabz,,S,,15,13,5,8,0.866666667,33,,,,,,,,,,,,,,,,,,,,730,48.66666667,VGN,name:dabz
SiddedOn,,S,,21,21,5,16,1,45,,,,,,,,,,,,,,,,,,,,1030,49.04761905,VGN,name:SiddedOn
KANE,,S,,5,2,0,2,0.4,2,,,,,,,,,,,,,,,,,,,,70,14,VGN,name:KANE
GrantOsaurus,,S,,4,4,0,4,1,0,,,,,,,,,,,,,,,,,,,,120,30,VGN,name:GrantOsaurus
Mobys,,S,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,#DIV/0!,VGN,name:Mobys
bleh,,S,,6,4,0,4,0.666666667,11,,,,,,,,,,,,,,,,,,,,175,29.16666667,VGN,name:bleh
OVO,,S,,21,20,7,13,0.952380952,51,,,,,,,,,,,,,,,,,,,,1100,52.38095238,VGN,name:OVO
Zen,,G,Assistant,0,1,0,1,,0,,,,,,,,,,,21,229,38,,,1.80952381,0.834061135,7,5,1990,94.76190476,VGN,name:Zen
Bloomer,,S/G,,9,9,4,5,1,8,,,,,,,,,,,2,5,2,,,1,0.6,1,1,490,44.54545455,VGN,name:Bloomer
silly,,S,Captain,21,17,2,15,0.80952381,20,,,,,,,,,,,,,,,,,,,,680,32.38095238,SLY,name:silly
matvei,,S,Assistant,29,48,23,25,1.655172414,110,,,,,,,,,,,,,,,,,,,,2795,96.37931034,SLY,name:matvei
stinkyshawn,,S,Assistant,25,39,11,28,1.56,79,,,,,,,,,,,,,,,,,,,,1950,78,SLY,name:stinkyshawn
Chilliam,,S,,10,11,0,11,1.1,3,,,,,,,,,,,,,,,,,,,,345,34.5,SLY,name:Chilliam
puckster,,G,,0,0,0,0,,0,,,,,,,,,,,20,162,25,,,1.25,0.845679012,11,5,1420,71,SLY,name:puckster
Nakesy,,S/G,,27,36,18,18,1.333333333,71,,,,,,,,,,,,,,,,,,,,2065,76.48148148,SLY,name:Nakesy
carl,,S.G,,6,6,3,3,1,12,,,,,,,,,,,,,,,,,,,,345,57.5,SLY,name:carl
ghost,,S/G,,2,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,100,50,SLY,name:ghost
Light,,G,,0,1,0,1,,0,,,,,,,,,,,9,92,20,,,2.222222222,0.782608696,5,1,760,84.44444444,SLY,name:Light
Drax,,S,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,#DIV/0!,MOFO,name:Drax
