name,steam_id,position,role,gp_s,pts,g,a,p_per_gp,shots,passes,exits,entries,hits,turnovers,takeaways,touches,possession_s,fow,fol,gp_g,sa,ga,body_sv,stick_sv,gaa,sv_pct,wins,so,sp,sp_per_gp,team_id,player_key
Shoe,,S,Captain,5,1,,1,0.2,6,,,,,,,,,,,,,,,,,,,,60,,WEST,name:Shoe
SoCanadian,,S,Assistant,5,6,2,4,1.2,9,,,,,,,,,,,,,,,,,,,,295,,WEST,name:SoCanadian
Marcus,,S,,5,6,3,3,1.2,16,,,,,,,,,,,,,,,,,,,,365,,WEST,name:Marcus
weatherboy,,S,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,WEST,name:weatherboy
Midnight,,S,,5,6,2,4,1.2,20,,,,,,,,,,,,,,,,,,,,350,,WEST,name:Midnight
DeadlyDangles,,S,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,WEST,name:DeadlyDangles
Nemestokes,,S,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,WEST,name:Nemestokes
Julzes,,S,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,WEST,name:Julzes
Miku,,S/G,Assistant,1,0,0,0,0,0,,,,,,,,,,,1,13,5,,,5,0.615384615,0,0,80,,WEST,name:Miku
milk,,G,Assistant,4,0,0,0,0,0,,,,,,,,,,,4,50,7,,,1.75,0.86,2,1,530,,WEST,name:milk
jurkeyy,,S,Captain,3,2,1,1,0.666666667,5,,,,,,,,,,,,,,,,,,,,120,,VGN,name:jurkeyy
dabz,,S,,3,2,1,1,0.666666667,7,,,,,,,,,,,,,,,,,,,,130,,VGN,name:dabz
SiddedOn,,S,,3,1,0,1,0.333333333,6,,,,,,,,,,,,,,,,,,,,60,,VGN,name:SiddedOn
KANE,,S,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,VGN,name:KANE
GrantOsaurus,,S,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,VGN,name:GrantOsaurus
Mobys,,S,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,VGN,name:Mobys
bleh,,S,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,VGN,name:bleh
OVO,,S,,3,1,0,1,0.333333333,6,,,,,,,,,,,,,,,,,,,,60,,VGN,name:OVO
Zen,,G,Assistant,3,0,0,0,0,0,,,,,,,,,,,3,27,3,,,1,0.888888889,1,0,240,,VGN,name:Zen
Bloomer,,S/G,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,VGN,name:Bloomer
silly,,S,Captain,5,3,1,2,0.6,4,,,,,,,,,,,,,,,,,,,,145,,SLY,name:silly
matvei,,S,Assistant,5,3,0,3,0.6,9,,,,,,,,,,,,,,,,,,,,135,,SLY,name:matvei
stinkyshawn,,S,Assistant,5,8,5,3,1.6,10,,,,,,,,,,,,,,,,,,,,465,,SLY,name:stinkyshawn
Chilliam,,S,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,SLY,name:Chilliam
puckster,,G,,5,0,0,0,0,0,,,,,,,,,,,5,36,8,,,1.6,0.777777778,2,0,280,,SLY,name:puckster
Nakesy,,S/G,,5,7,2,5,1.4,5,,,,,,,,,,,,,,,,,,,,305,,SLY,name:Nakesy
carl,,S.G,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,SLY,name:carl
ghost,,S/G,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,SLY,name:ghost
Light,,G,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,SLY,name:Light
Drax,,S,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,SLY,name:Drax
John Puck,,S,Captain,12,14,4,10,1.166666667,16,,,,,,,,,,,,,,,,,,,,640,,MOFO,name:John Puck
Pyros,,S,Assistant,12,14,4,10,1.166666667,21,,,,,,,,,,,,,,,,,,,,665,,MOFO,name:Pyros
player 43,,S,,12,19,12,7,1.583333333,51,,,,,,,,,,,,,,,,,,,,1245,,MOFO,name:player 43
Mushy,,S,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,MOFO,name:Mushy
rockhopper,,S,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,MOFO,name:rockhopper
ALEJO,,S,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,MOFO,name:ALEJO
SupaWoov,,S/G,,12,9,0,9,0.75,6,,,,,,,,,,,,,,,,,,,,300,,MOFO,name:SupaWoov
Foster,,S/G,,12,1,0,1,0.083333333,0,,,,,,,,,,,12,91,15,,,1.25,0.835164835,8,5,1290,,MOFO,name:Foster
Nakamura,,G,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,MOFO,name:Nakamura
Poro,,S,Captain,2,2,1,1,1,4,,,,,,,,,,,,,,,,,,,,115,,MM,name:Poro
pretty,,S,Assistant,2,3,1,2,1.5,3,,,,,,,,,,,,,,,,,,,,140,,MM,name:pretty
barky,,S,Assistant,2,4,1,3,2,5,,,,,,,,,,,,,,,,,,,,180,,MM,name:barky
Jonezy,,S,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,MM,name:Jonezy
Pogba,,S,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,MM,name:Pogba
foxbrow,,S,,2,5,2,3,2.5,9,,,,,,,,,,,,,,,,,,,,265,,MM,name:foxbrow
Rickey,,G,,2,0,0,0,0,0,,,,,,,,,,,2,16,7,,,3.5,0.5625,0,0,90,,MM,name:Rickey
Ogre,,G,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,MM,name:Ogre
walker,,S,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,MM,name:walker
Kadri,,G,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,MM,name:Kadri
JB,,S,Captain,13,13,4,9,1,21,,,,,,,,,,,,,,,,,,,,635,,BCL,name:JB
LePuckuer,,S,Assistant,13,13,1,12,1,26,,,,,,,,,,,,,,,,,,,,555,,BCL,name:LePuckuer
BarDownBart,,S,,4,1,1,0,0.25,11,,,,,,,,,,,,,,,,,,,,120,,BCL,name:BarDownBart
nickisntcool,,S,,13,16,5,11,1.230769231,40,,,,,,,,,,,,,,,,,,,,855,,BCL,name:nickisntcool
Vanxity,,S,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,BCL,name:Vanxity
BOESER,,S,,9,11,7,4,1.222222222,34,,,,,,,,,,,,,,,,,,,,745,,BCL,name:BOESER
imacomputa,,S,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,BCL,name:imacomputa
Jarry,,G,Assistant,13,0,0,0,0,0,,,,,,,,,,,13,113,14,,,1.076923077,0.876106195,7,4,1390,,BCL,name:Jarry
Quick,,S/G,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,BCL,name:Quick
