Draft Name,S1,S1 Playoffs,S2,S2 Playoffs
Poro,Y,Y,Y,Y
Bingus,,,Y,Y
Gedaliah,,,,
moose,Y,,Y,Y
BigChin,,,,
vxpr,,,,
cb,,,,
Oodoo,,,Y,Y
placenta,,,Y,
Jag,,,,
ttearr,,,Y,
Bwall,,,Y,Y
KANE,Y,Y,,
Quick,Y,Y,Y,Y
Winky,,,Y,Y
Niemi,,,,
robertthomas,,,,
Pyros,Y,Y,Y,Y
Frolov,,,Y,Y
Luci,,,,
BarDownBart,Y,Y,Y,
stinkyshawn,Y,Y,Y,Y
Danky,,,,
BOESER,Y,Y,Y,Y
ScottStevens,,,,
Greenporkiepine,,,,
Dan,,,Y,Y
Zen,Y,Y,Y,Y
Sven,,,Y,Y
MissTheNetMarge,,,Y,
GrantOsaurus,Y,Y,Y,
Mobys,Y,Y,Y,
Miku,Y,Y,Y,Y
ronin,,,Y,Y
Mushy,Y,Y,Y,Y
lain,,,,
Nakamura,Y,Y,Y,Y
KNODEL (D3),,,,
Marsamune,,,,
milk,Y,Y,Y,Y
ghost,Y,Y,Y,Y
SoCanadian,Y,Y,Y,
Invincible,,,Y,Y
Gumpy,,,Y,
Nem,,,Y,
carl,Y,Y,Y,
GOOGI,,,,
Sorg,,,,
Jyler,,,Y,Y
cat,,,,
Oettinger,,,Y,
ZDawg,,,,
Maatta,,,Y,
spantch,,,,
dabz,Y,Y,Y,
FORD,,,Y,
Figgy,,,,
yune,,,,
Dog,,,,
Dorofeyev (D3),,,,
Weariertomato,,,,
TSUJIMOTO,,,,
Pogba,Y,Y,Y,
Sho,,,,
TTVSkitsArk,,,,
barky,,Y,,
THESWAGMAN,,,,
Son,,,,
Jackk,,,,
Wooyoungmi,,,,
v,,,Y,Y
Draisaitl,,,,
KNODEL,,,,
LePuckuer,Y,Y,Y,Y
Kadri#91,,,,
JacksonSmith,,,,
cloog,,,,
tov,,,,
LickMyStickLisa,,,,
pretty,Y,Y,Y,Y
kolt,,,,
Puff,,,Y,
Cooley,,,Y,
DickiePecker,,,,
Sundin,,,Y,
walker,Y,Y,Y,Y
ThrockMorton,,,,
Ziggy,,,Y,
mama,,,,
BrunoFernandge,,,,
custom,,,,
OfficeLAMP,,,Y,
SupaWoov,Y,Y,Y,Y
JohnPuck,,,,
Stinger,,,,
Gaara,,,,
gregmiller,,,,
KeepItKrusty,,,,
Chippy,,,,
PrayForLeslie,,,,
Maverick,,,,
robertthomas,,,,
Chief Keef,,,,
Brodeur,,Y,,
ZambonaldTrump,,,,
Grizz,,,,
Gary ,,,,
extendo,,,Y,Y
