player_key,name,position,s1_reg_sk_gp,s1_reg_g,s1_reg_a,s1_reg_pts,s1_reg_g_gp,s1_reg_sv,s1_reg_gaa,s1_reg_sv_pct,s1_po_sk_gp,s1_po_g,s1_po_a,s1_po_pts,s1_po_g_gp,s1_po_sv,s1_po_gaa,s1_po_sv_pct,s2_reg_sk_gp,s2_reg_g,s2_reg_a,s2_reg_pts,s2_reg_g_gp,s2_reg_sv,s2_reg_gaa,s2_reg_sv_pct,s2_po_sk_gp,s2_po_g,s2_po_a,s2_po_pts,s2_po_g_gp,s2_po_sv,s2_po_gaa,s2_po_sv_pct
,BarDownBart,Skater,25,9,21,30,,,,,4,1,0,1,,,,,23,7,13,20,,,,,,,,,,,,
,barky,Goalie,,,,,,,,,2,1,3,4,,,,,,,,,,,,,,,,,,,,
,BigChin,Skater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bingus,Skater,,,,,,,,,,,,,,,,,19,1,12,13,,,,,8,1,6,7,,,,
,BOESER,Skater,20,13,12,25,,,,,9,7,4,11,,,,,18,12,14,26,,,,,8,6,4,10,,,,
,Brodeur,Goalie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BrunoFernandge,Skater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bwall,Goalie,,,,,,,,,,,,,,,,,,,,,1,4,0.00,1.000,,,,,,,,
,carl,Skater,6,3,3,6,,,,,,,,,,,,,3,0,1,1,,,,,,,,,,,,
,cat,Skater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,cb,Skater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name:ChiafNeef,Chief Keef,Skater,,,,,,,,,,,,,,,,,17,10,16,26,,,,,,,,,,,,
,Chippy,Goalie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,cloog,Skater/Goalie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cooley,Skater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,custom,Skater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
