pick_number,original_team_id,original_team_name,team_id,team_name,player_name
1,SLY,Silly Seals,SLY,Silly Seals,BarDownBart
2,PKN,Puckin Penguins,PKN,Puckin Penguins,barky
3,LL,Little St. James Lot Lizards,LL,Little St. James Lot Lizards,BigChin
4,BCL,BC Legless,BCL,BC Legless,Bingus
5,NK,Niagra Knicks,NK,Niagra Knicks,Brendan
6,TOR,Toronto Badgers,TOR,Toronto Badgers,Bryton
7,SLY,Silly Seals,SLY,Silly Seals,CH4OS
8,PKN,Puckin Penguins,PKN,Puckin Penguins,Chase
9,LL,Little St. James Lot Lizards,LL,Little St. James Lot Lizards,Connor
10,BCL,BC Legless,BCL,BC Legless,Danchuk
11,NK,Niagra Knicks,NK,Niagra Knicks,P10
12,TOR,Toronto Badgers,TOR,Toronto Badgers,P11
13,SLY,Silly Seals,SLY,Silly Seals,P12
14,PKN,Puckin Penguins,PKN,Puckin Penguins,P13
15,LL,Little St. James Lot Lizards,LL,Little St. James Lot Lizards,P14
16,BCL,BC Legless,BCL,BC Legless,P15
17,NK,Niagra Knicks,NK,Niagra Knicks,P16
18,TOR,Toronto Badgers,TOR,Toronto Badgers,P17
19,SLY,Silly Seals,SLY,Silly Seals,P18
20,PKN,Puckin Penguins,PKN,Puckin Penguins,P19
21,LL,Little St. James Lot Lizards,LL,Little St. James Lot Lizards,P20
22,BCL,BC Legless,BCL,BC Legless,P21
23,NK,Niagra Knicks,NK,Niagra Knicks,P22
24,TOR,Toronto Badgers,TOR,Toronto Badgers,P23
25,SLY,Silly Seals,SLY,Silly Seals,P24
26,PKN,Puckin Penguins,PKN,Puckin Penguins,P25
27,LL,Little St. James Lot Lizards,LL,Little St. James Lot Lizards,P26
28,BCL,BC Legless,BCL,BC Legless,P27
29,NK,Niagra Knicks,NK,Niagra Knicks,P28
30,TOR,Toronto Badgers,TOR,Toronto Badgers,P29
31,SLY,Silly Seals,SLY,Silly Seals,P30
32,PKN,Puckin Penguins,PKN,Puckin Penguins,P31
33,LL,Little St. James Lot Lizards,LL,Little St. James Lot Lizards,P32
34,BCL,BC Legless,BCL,BC Legless,P33
35,NK,Niagra Knicks,NK,Niagra Knicks,P34
36,TOR,Toronto Badgers,TOR,Toronto Badgers,P35
37,SLY,Silly Seals,SLY,Silly Seals,P36
38,PKN,Puckin Penguins,PKN,Puckin Penguins,P37
39,LL,Little St. James Lot Lizards,LL,Little St. James Lot Lizards,P38
40,BCL,BC Legless,BCL,BC Legless,P39
41,NK,Niagra Knicks,NK,Niagra Knicks,P40
42,TOR,Toronto Badgers,TOR,Toronto Badgers,P41
