name,gp,draft_stock,position
BarDownBart,175,0.05,S
barky,0,0.02,G
BigChin,0,0.015,
Bingus,191,0.05,S
BOESER,156,0.043032972,S
Brodeur,0,0.025,G
BrunoFernandge,2,0.020044475,S
Bwall,202,0.02,G
carl,2,0.016904009,S
cat,0,0.015,
cb,253,0.035,S
Chief Keef,0,0.05,S
Chippy,0,0.015,
cloog,1,0.015600336,S
Cooley,4,0.016598784,S
custom,3,0.016454218,S
dabz,5,0.035,S
Dan,50,0.019840241,G
DankyD,285,0.047898846,S
DickiePecker,0,0.05,S
Dog,0,0.015,
Dorofeyev (D3),2,0.025,S
Draisaitl,0,0.015,
extendo,84,0.020800323,S
Figgy,0,0.015,
FORD,0,0.015,
Frolov,109,0.016395454,S
Gaara,0,0.015,
Gary ,0,0.015,
Gedaliah,64,0.015509453,G
ghost,157,0.043679753,G
GOOGI,3,0.017190877,S
GrantOsaurus,216,0.02,S
Greenporkiepine,122,0.016173008,S
gregmiller,0,0.015,
Grizz,0,0.035,G
Gumpy,69,0.038712779,G
Invincible,0,0.015,
Jackk,1,0.035,S
JacksonSmith,1,0.015929772,S
Jag,1,0.015719144,G
John Puck,142,0.035856484,S
Jyler,0,0.015,
Kadri,38,0.016330873,S
KANE,15,0.0170169,S
KeepItKrusty,0,0.015,
KNODEL,0,0.015,
kolt,37,1,S
lain,0,0.015,
LePuckuer,147,0.02450454,S
LickMyStickLisa,5,0.018306576,S
Lucifumu,165,0.020893835,S
Maatta,2,0.035,S
mama,0,0.015,
Marsamune,0,0.02,S
Maverick,0,0.015,
Miku,11,0.022691883,S
milk,17,0.05,G
MissTheNetMarge,125,0.019133094,S
Mobys,1,0.015861933,S
moose,17,0.175445634,S
Mushy,0,0.015,
Nakamura,11,0.019540929,G
Nem,13,0.035,S
Niemi,29,0.015351694,G
Oettinger,43,0.015971848,S
OfficeLAMP,1,0.01738598,S
Oodoo,10,0.017047567,S
placenta,147,0.024445125,S
Pogba,132,0.016188941,S
Poro,53,0.035,S
PrayForLeslie,15,0.25,S
pretty,9,0.074877504,S
Puff,0,0.03,G
Pyros,75,0.035,S
Quick,178,0.025,G
robertthomas,10,0.015,S
ronin,87,0.034,S
ScottStevens,317,0.047494967,S
Sho,0,0.015,
SoCanadian,1,0.025,S
Son,0,0.015,
Sorg,0,0.015,
spantch,5,0.013845333,S
Stinger,0,0.015,
stinkyshawn,261,0.173106368,S
Sundin,0,0.025,
SupaWoov,102,0.017846607,S
Sven,3,0.018927882,S
THESWAGMAN,0,0.015,
ThrockMorton,1,0.025,G
tov,0,0.015,
TSUJIMOTO,7,0.016605568,S
ttearr,77,0.018303677,G
TTVSkitsArk,0,0.015,
v,8,0.067624305,S
vxpr,44,0.021528565,S
walker,4,0.035,S
Weariertomato,0,0.015,
Winky,57,0.02,S
Wooyoungmi,0,0.015,
yune,54,0.035140857,S
ZambonaldTrump,0,0.015,
ZDawg,0,0.015,
Zen,37,0.044185006,G
Ziggy,0,0.015,
